,0
0,-270.66085206431177
1,-369.8045727097991
2,-364.61030029288054
3,-232.6287795065502
4,-226.76722893863806
5,-254.1045768667386
6,-247.97532867295536
7,-361.79448223611786
8,-227.20858772160702
9,-298.4707143597443
10,-180.34602292329345
11,-312.66842613769006
12,-240.62396886109673
13,-308.932219505162
14,-302.63827345617904
15,-210.0158173386804
16,-118.31165586108767
17,-179.56881890764595
18,-182.99709767361512
19,-192.87909163275086
20,-199.9237152852421
21,-198.26551926910508
22,-226.39001237575656
23,-149.2482202045804
24,-325.76701876775536
25,-158.60208369453915
26,-190.81165497773821
27,-320.50885457405144
28,-368.204246529931
29,-91.8987628994122
30,-99.70266879151866
31,-410.4899993782439
32,-175.71679280913446
33,-162.04420278660567
34,-142.25655480291925
35,-238.24874676628065
36,-404.4715908331332
37,-384.5353131054722
38,-403.4266123039487
39,-413.0205584982684
40,-384.89073068467843
41,-439.2103168156156
42,-338.81896728703055
43,-402.95599831569353
44,-605.6183040480274
45,-299.5002897223081
46,-219.0397222820424
47,-409.92222209713043
48,-337.96619112581305
49,-317.2044125712592
50,-323.63781516000097
51,-199.56690555892686
52,-288.05760414210056
53,-242.1746133138888
54,-214.32238128083708
55,-335.352859901379
56,-90.55652456767639
57,-86.2624225233784
58,-431.93525300513807
59,-259.40167850355874
60,-285.12020816874
61,-390.4473103498756
62,-238.52660051600208
63,-230.2006797260526
64,-373.15823138598114
65,-366.62737882565597
66,-344.37476230803304
67,-337.46567253677694
68,-158.23427878912085
69,-203.0656505117687
70,-288.2159535586239
71,-181.26653067224112
72,-505.5600838640181
73,-321.4123425935067
74,-466.8030230571091
75,-526.8336643619587
76,-640.591511851621
77,-519.0551192693608
78,-649.6066849069899
79,-404.26433414191206
80,-464.4926866126547
81,-334.3561896399445
82,-330.8572289900274
83,-356.3038437227352
84,-261.9747346937023
85,-305.385240056877
86,-335.1235711357745
87,-239.13216725942945
88,-411.7213185915443
89,-430.41456895287456
90,-292.99852268676995
91,-462.55430992768964
92,-364.44501496470247
93,-212.52229430117836
94,-714.1540593183612
95,-669.5387899237736
96,-304.217952760111
97,-515.1226192034112
98,-496.3345475245848
99,-473.6152728587066
100,-353.7214414196297
101,-129.63435488940686
102,-306.4329948739212
103,-293.58060288923775
104,-361.8279337410014
105,-117.86527176884788
106,-119.20036235587744
107,-99.19662707173238
108,-94.45151266072737
109,-136.2870601224384
110,-137.38941561545013
111,-149.7454851100965
112,-125.30864639628174
113,-171.03926419829384
114,-145.90108283948442
115,-102.54254962080057
116,-165.58147143502964
117,-145.51784992403697
118,-151.59639674799178
119,-183.92863862115803
120,-130.78024342764758
121,-213.00389231066228
122,-175.6345657340187
123,-132.56856846296125
124,-167.12636018160993
125,-212.4135865579763
126,-236.49363435003363
127,-127.7923277265731
128,-211.76081995835185
129,-231.8775749345782
130,-259.0125674391386
131,-260.254487613923
132,-310.9194322081288
133,-343.68794330202564
134,-501.3136194076207
135,-774.4962695426627
136,-873.9182298337369
137,-835.7919241410049
138,-824.4100855181409
139,-750.0852197973497
140,-718.6778731564583
141,-705.9379418534188
142,-578.0551903364245
143,-422.5895277967226
144,-384.9665093208774
145,-449.45050213983336
146,-512.9097648438662
147,-551.9905983508424
148,-565.3906385786332
149,-98.58178286017193
150,-299.2973062966055
151,-440.2945542326436
152,-444.51451886345075
153,-503.6228279810353
154,-291.2262742020551
155,-457.0392016101189
156,-316.3075154990008
157,-112.27843417551888
158,-177.9174615284858
159,-337.4003527070135
160,-345.165772917199
161,-268.6649909765464
162,-352.9447291672818
163,-137.81498290459436
164,-363.6363592907957
165,-214.11832242346242
166,-175.95640014470752
167,-91.41471194143489
168,-305.44625413762884
169,-391.70351865316627
170,-366.48613165376054
171,-175.996598049689
172,-356.2489529460726
173,-98.7157678676596
174,-302.31169869020465
175,-337.29444902053865
176,-426.45376654356113
177,-110.30865882378778
178,-158.27299339814218
