,0,1,2,3,4,5,6,7,8,9,10,11
0,0.11705801,0.14692318,0.35992733,0.3812841,0.10264666,0.13100976,0.3257643,0.3552413,0.056269355,0.06650464,0.15305331,0.13849609
1,0.11425805,0.1510872,0.31172007,0.3313101,0.10268102,0.13884157,0.28462535,0.30744624,0.05011498,0.05958489,0.12711339,0.1234633
2,0.10896455,0.14262587,0.29591134,0.31587008,0.09351595,0.12565151,0.2636808,0.28512135,0.055928886,0.06748212,0.13429807,0.13594013
3,0.09511572,0.12986004,0.2448374,0.27239683,0.07672627,0.10569583,0.20239973,0.23317997,0.056214582,0.07544549,0.13776685,0.1408089
4,0.086341366,0.11968146,0.23202583,0.25403157,0.06807032,0.096643485,0.19874538,0.2233942,0.05311556,0.07059525,0.11973412,0.12094245
5,0.11942055,0.15954669,0.3155325,0.32519716,0.110566005,0.14980628,0.2810852,0.2954922,0.045126777,0.054892853,0.14335927,0.13578492
6,0.08733676,0.1264507,0.22209094,0.25461265,0.072819054,0.10972228,0.1933726,0.23013036,0.04821923,0.06285539,0.10923105,0.10893864
7,0.06976437,0.10638794,0.18920067,0.22478321,0.054394703,0.084778905,0.1624465,0.20337132,0.0436839,0.06427232,0.09699501,0.095747575
8,0.10091054,0.1372845,0.2628011,0.30416948,0.08549205,0.12176291,0.2194375,0.2647573,0.053610127,0.06340999,0.14460844,0.1497419
9,0.07691235,0.114674434,0.19410819,0.24095836,0.06188713,0.0962016,0.16525625,0.21716063,0.045667198,0.062413767,0.10182516,0.104413584
10,0.07585687,0.114916265,0.19381185,0.2341372,0.06137957,0.097197786,0.1657308,0.20908675,0.04457368,0.061305285,0.10048053,0.105370596
11,0.066514544,0.103776425,0.16019797,0.2174785,0.05379864,0.08967175,0.14021525,0.19994731,0.039113816,0.052235264,0.0774795,0.08554514
12,0.099221975,0.1383177,0.2746121,0.30331933,0.08682137,0.12522317,0.22941883,0.2662121,0.048031762,0.058744706,0.15092652,0.14537446
13,0.08412116,0.124314584,0.21413356,0.26190627,0.0708781,0.10981411,0.18362032,0.23662806,0.04530634,0.058266435,0.11016695,0.112258874
14,0.07213939,0.11103795,0.17710982,0.23166467,0.057412464,0.09333576,0.13899799,0.20091107,0.043679524,0.060148664,0.10976089,0.11533977
15,0.06937494,0.11424249,0.1543493,0.20990522,0.05864149,0.10078984,0.13364002,0.18875228,0.037068285,0.053784326,0.07722726,0.09183018
16,0.10851668,0.15575656,0.32422113,0.3765468,0.099805795,0.14629638,0.28434443,0.34536314,0.04259899,0.053455368,0.15578057,0.1500393
17,0.058954675,0.10267691,0.13450484,0.18590286,0.049030706,0.09031773,0.11481789,0.16862822,0.032735966,0.048839085,0.070060015,0.07825856
18,0.064586855,0.11008337,0.14089483,0.19699183,0.053675316,0.096099496,0.118474245,0.17610568,0.035922445,0.053695768,0.0762575,0.08827555
19,0.065343976,0.116712905,0.13625374,0.19482295,0.05506699,0.1029105,0.11603682,0.17541207,0.035177577,0.055057544,0.07141807,0.08477373
20,0.07764416,0.124504566,0.19188467,0.2470868,0.06576924,0.11259849,0.1557448,0.214982,0.041267693,0.053131588,0.11208602,0.12179747
