,0,1,2,3,4
0,4935.033906661366,5574.019978578951,302.02124016580524,715.833896067926,73.0
1,4799.5368796623625,5599.174373883646,2713.45004599398,735.4723999506442,70.0
2,4798.261792378904,5443.559194793768,2468.693122411913,743.6729979538013,65.0
3,4853.309810643682,5576.423782095895,2790.327226254991,677.3171493647033,73.0
4,4749.48762539766,5495.781559048521,2349.1612670794134,778.5341535208274,67.0
5,4866.280772393724,5497.58982383437,2349.904568112137,666.7641953565028,70.0
6,4683.784158099099,5468.362543059963,2302.5805340965944,786.934514772373,60.0
7,4472.648593502143,5539.440822923778,1989.6031084926703,898.6723474641074,51.0
8,4506.893775036623,5532.250463293173,2334.80971351092,863.5476375004145,46.0
9,4487.687359235005,5501.69734249446,2116.9084251543923,920.8520777948657,53.0
10,4408.5317433742675,5555.989294333493,2219.469549673857,922.5289617664884,48.0
11,4383.026398201639,5435.445019589213,2111.8260655106087,948.8794986850318,51.0
12,4350.033101005941,5590.954941432977,2181.34214252414,987.6892692263892,51.0
13,4409.69308231715,5504.00906647075,1760.0412178747285,943.4687461535681,48.0
14,4041.0637351772602,5457.821912810863,1837.9650646463601,1097.2204602858328,44.0
15,4176.832514524452,5379.37003396473,1873.5789446132442,1007.6672254556187,37.0
16,4238.731438277082,5498.39035723267,569.9611377135437,1008.7761486434218,41.0
17,4105.528723312986,5517.744640047383,1751.4648948748718,1061.3903167500325,35.0
18,4254.248710403077,5486.621735937811,2214.3523561628767,933.4822378245327,37.0
19,4106.854272767086,5634.614120908373,1734.373847879375,1098.149955147961,39.0
20,4273.037159547693,5519.679739509845,551.4208532291733,1008.1853320661232,38.0
21,4254.874581273277,5537.122149101912,1978.2362635760285,963.4989232123279,40.0
22,4336.103955476816,5587.308447421322,1717.115861909238,1013.3990931934516,39.0
23,4362.289297282103,5414.547460526331,1239.9543178168256,1010.5921545659603,47.0
24,4133.377720895077,5492.016344659157,497.562117592868,1224.6502930369174,46.0
25,4171.9035989939775,5458.925805552075,515.3508667788619,1137.0041026599044,40.0
26,4318.773230071571,5542.256975542136,506.09614301400126,1076.9146063029805,45.0
27,4055.195680554465,5391.4878152443425,515.6504123352927,1157.9952244603485,41.0
28,3916.6283261101794,5389.3140034246735,404.92652442193435,1307.9484119044987,41.0
29,4106.203831900589,5503.974932825227,382.342567861334,1274.0230086874224,44.0
30,3810.853500476418,5571.417544608594,1080.5848341954825,1221.366837335129,37.0
31,3835.613395735322,5475.001168152294,380.63408224126965,1301.3261037336042,37.0
32,3959.6759106119907,5445.416980817722,416.46615430959923,1255.0945972656893,38.0
33,3720.56944975581,5494.802748992646,424.76886583217544,1440.9186045443867,41.0
34,3363.3702446951665,5425.270221349031,242.76221387568543,1560.7314096410992,28.999999999999996
35,3533.2174606015283,5486.453680863797,259.81622195928543,1500.7713938587867,35.0
36,3215.811029709948,5398.816229429193,245.39267973344312,1662.6004250327467,30.0
37,3096.3088063584373,5234.196591795736,229.38243999873518,1598.5425134489133,23.0
38,3015.3642542122716,5533.931386964155,216.40711858835238,1615.0751077417585,23.0
39,2393.9556806937135,5309.601455715541,232.12211663205238,1812.0535288943172,19.0
40,2330.3468316065187,5219.248117953487,223.30311138033088,1809.4418085039779,18.0
