,0,1,2,3,4,5
0,0.015524507,0.13065338,-0.08572623,0.19018543,0.21044263,0.21492761
1,-0.25257587,-0.0011156797,-0.084750175,0.38166285,0.35536954,0.37668186
2,-0.317559,-0.18142775,-0.042552322,0.48455524,0.32040164,0.4968872
3,-0.3925078,-0.23282886,-0.14539984,0.6275836,0.35643545,0.3176692
4,-0.76990116,-0.7265891,0.041610897,0.6376872,0.18490648,0.40028894
5,-0.62390786,-0.29924345,-0.04896821,0.65926325,0.004129529,0.35787743
6,-0.66184306,-0.07238564,0.07636804,0.7693048,-0.10673815,0.36394727
7,-0.68433243,0.061356694,-0.013155129,0.7449643,-0.27744532,0.34378058
8,-0.80324405,-0.21119863,-0.069999695,0.9350943,-0.4878559,0.15572101
9,-1.187267,-0.17002249,0.024398535,1.2167897,-0.6308906,-0.14640492
10,-1.4507031,-0.434277,-0.027101576,1.4928371,-0.79842496,-0.40662408
11,-1.602563,-0.42143852,0.1038727,1.7190999,-0.99031377,-0.62620074
12,-1.766035,-0.58219415,0.15544656,1.9184251,-1.0008087,-0.7522819
13,-1.9651754,-0.60882413,0.25923532,2.198162,-0.9748864,-0.84770995
14,-2.0945833,-0.7850646,0.16108045,2.3374715,-0.9688238,-0.9540378
15,-2.303772,-0.87574244,0.2206251,2.4764607,-0.9996564,-1.1297964
16,-2.3233912,-1.0303478,0.27188057,2.4770365,-0.42405808,-0.97941846
17,-2.3479047,-0.9460684,0.11878708,2.3479939,0.045725346,-0.97383165
18,-2.4088166,-1.0769576,0.062320113,2.4427795,0.6114473,-0.9516998
19,-2.689629,-1.2144784,-0.5781504,2.6575797,1.1842058,-1.3357357
20,-2.9770184,-1.3525834,-0.2643503,2.6327322,1.7475543,-0.47126347
21,-3.4528131,-1.5229132,-0.33229646,2.9284475,1.5631708,0.47182643
22,-3.7537224,-1.5477257,-0.25130415,3.5213006,1.3891268,1.302149
23,-4.0112457,-1.665224,0.07991776,3.6632898,1.4255223,2.1892464
24,-4.226169,-1.8454628,-0.53313303,3.7510953,1.4111023,2.1878152
25,-3.5447223,-1.8801484,-0.1810652,3.7149332,1.4851451,1.7421267
26,-3.079195,-1.7995399,-0.40137887,3.465076,1.6725103,0.6866095
27,-2.8808029,-1.8153094,-0.8388343,3.398069,1.8009346,0.876833
28,-2.8040545,-1.6922345,-0.54772097,3.1308353,1.9081045,0.9616506
29,-2.6042876,-2.0767775,-0.3403086,2.8621187,1.9668713,1.5525913
30,-2.2499433,-2.5512269,-0.25133905,2.6005206,1.3575494,1.6818604
31,-2.1168065,-2.5695124,-0.5216905,2.3779476,1.4784704,1.5378685
32,-1.9991218,-2.800316,-0.014686123,2.1117253,1.3500075,0.5767304
33,-2.014906,-2.8683903,0.55240816,1.7570763,1.2178316,-0.1168901
34,-1.8828963,-2.9744558,1.4608173,1.6571138,0.90942127,-1.4954344
35,-1.8094239,-2.9967775,2.1651254,1.5196612,0.56113863,-2.4064155
36,-1.9487438,-2.4813204,0.6293914,1.374605,0.38415283,-2.579769
37,-2.2030606,-1.5333681,0.7734806,1.4195154,-0.0093896985,-2.5522177
38,-2.329979,-0.70602214,0.47186106,1.3858962,-0.021284103,-2.5685813
39,-2.6231866,-0.27179676,0.45530593,1.2867349,-0.05907643,-2.4835787
40,-2.730771,-1.039477,-0.35173354,1.2909315,0.05321145,-2.4398685
41,-2.8873267,-1.3691896,-0.5807578,1.2499356,0.013339698,-2.3963728
42,-3.0368972,-1.5079997,-0.82209265,1.2065208,0.20537996,-2.3933163
43,-3.1546025,-1.5334785,-1.0505135,1.1512291,0.26240444,-2.3920484
44,-3.2142324,-1.5075147,-1.069481,1.1310962,0.22473228,-2.3692634
45,-3.3258004,-1.5053365,-1.1079965,1.0764878,0.028508902,-2.4119823
46,-3.544116,-1.811383,0.117033005,0.9004814,0.17676389,-2.319365
47,-4.6923823,-1.917014,0.18640861,0.38600332,0.24358404,-2.330667
48,-4.5998864,-2.150806,0.38694784,1.0369241,1.124394,-2.1079423
49,-4.2852864,-2.5765052,-0.17629428,1.9489448,1.9739733,-1.8715072
50,-2.7618282,-3.9720497,0.4045043,3.4139097,2.8426118,-1.7187644
51,-1.3671885,-5.5939794,0.08842682,4.816984,3.7324576,-1.5753089
52,-0.8031475,-6.3304462,-0.003472209,4.6865,3.8009217,-1.5372005
53,-0.9492872,-6.9755054,-0.07084072,4.299633,3.1551838,-1.66597
54,-1.1307969,-8.164277,-0.1524297,4.0125556,2.0339613,-1.5437164
55,-1.3525404,-8.410027,-0.263812,3.429747,1.728174,-1.6203444
56,-1.4844524,-7.4210534,0.009909987,2.7270007,1.3938048,-1.6196718
57,-1.5939672,-5.5263214,-0.166201,2.3214118,0.96550274,-1.6399481
58,-1.5461278,-3.8834658,-0.31291747,1.7768464,0.52200186,-1.8755312
59,-1.8103123,-2.436926,-0.4125064,1.6874205,-1.0086503,-1.8654795
60,-1.0935028,-2.6762502,0.77918214,1.58375,-1.4224826,-0.5784582
61,-0.29297596,-2.4657316,1.4758893,1.2817233,-2.050716,0.14413726
62,0.25574064,-2.225296,2.240995,0.8702406,-2.3416553,0.6390858
63,0.51481533,-2.1378932,2.3200722,0.112241924,-3.0057132,1.5567291
64,-0.03299521,-2.3329413,2.0376062,0.46436357,-2.717581,1.8143884
65,-0.8292628,-2.6278481,1.8296862,1.3922491,-2.3133671,2.0836759
66,-1.931514,-2.757443,1.7147871,1.7128053,-2.1203475,2.0714798
67,-2.310056,-2.963849,1.5294956,2.5901432,-1.4175235,2.0679526
68,-1.7411675,-2.5867195,0.40538627,3.0629487,-1.716738,1.3678148
69,-2.6541643,-2.2672153,-0.6710135,2.6624837,-2.505163,0.8611679
70,-1.956999,-1.8144722,-1.519642,2.7986479,-2.7282772,0.50739586
71,-2.521397,-0.98475254,-2.1003835,2.287434,-3.01275,0.18531
72,-1.7710371,-1.6418447,-2.811491,2.7943914,-3.2120316,0.7914726
73,-2.5799873,-1.5988383,-2.4263868,2.7033262,-3.659388,0.8126201
74,-2.778054,-2.0948868,-2.0637922,2.847925,-3.9475846,0.47283894
75,-3.149254,-1.6309123,-1.7783704,3.1681693,-4.084908,0.40802968
76,-2.5567389,-1.5638999,-2.3297637,2.8914611,-4.173171,-0.5014508
77,-2.36088,-1.3303039,-2.774082,2.4732075,-4.02302,-0.6167743
78,-1.6839154,-1.0643349,-2.7484407,2.428496,-3.900268,-1.00907
79,-1.2724873,-0.82256293,-2.704897,2.2132354,-3.7625384,-0.99248904
80,-1.7387326,-0.833418,-1.3308005,2.369911,-3.705102,-0.8695958
81,-2.5271719,-1.0504751,-0.1196588,2.3133187,-3.671824,-0.7123746
82,-2.9228468,-1.5715673,0.9807669,2.622086,-3.629569,-0.65110785
83,-3.7843986,-1.5393767,2.2300436,2.981029,-3.6271954,-0.5627027
84,-2.3647032,-1.2486916,2.688155,2.4459603,-3.6322389,-0.9693516
85,-1.2483299,-1.1274438,3.072505,1.4192994,-3.643475,-1.8892598
86,-0.16159344,-0.7345816,3.212491,0.20131725,-3.8217497,-2.6534786
87,0.89412725,-0.5374179,3.551049,-0.84701484,-3.9449837,-3.2741513
88,0.9932054,-0.37519258,3.6113284,-1.2205085,-3.3649251,-3.0019577
89,0.34450006,-0.5237173,3.388877,-2.1397,-2.8464906,-3.1284966
90,0.36157817,-0.62324,4.568513,-2.145274,-2.247198,-3.758621
91,-0.3174183,-0.7524225,5.291372,-1.9305675,-1.7709265,-3.73278
92,-1.3311454,-1.1719267,5.502363,-0.46520287,-1.700639,-2.8814967
93,-2.2749522,-1.5637026,5.703901,0.75285375,0.19098961,-2.3357582
94,-3.2621574,-1.7351412,5.9404902,2.225808,1.8110808,-1.4158227
95,-4.789932,-1.7068474,7.079664,3.7758265,2.3776796,-0.18889475
96,-5.803745,-3.2489622,5.619999,2.9365547,3.1346307,0.9994886
97,-7.5898776,-4.1317487,5.001067,2.497385,3.0206523,2.8949804
98,-8.201479,-4.051833,4.6791825,2.0051332,3.8405285,4.5905676
99,-8.652777,-4.0506263,4.060155,2.184219,4.3218784,6.1952925
100,-7.817726,-3.398196,3.171435,2.8128288,4.3060184,5.839081
101,-6.8115582,-4.1285367,2.5638804,3.334397,5.272691,4.6286206
102,-6.361043,-4.260087,1.2112379,3.79804,5.2408295,4.454295
103,-5.9038863,-5.4377213,-0.14205939,4.240793,4.825537,4.252318
104,-6.021946,-5.9573703,-2.0274353,4.1564326,4.1998863,3.0433013
105,-6.6263175,-6.880719,-3.8352284,3.990707,3.5461855,1.28113
106,-6.9129715,-7.7383347,-5.4020524,3.8733327,3.1724353,-0.72155565
107,-7.439445,-8.034606,-7.3639235,3.6234217,2.993869,-2.4453633
108,-7.5892887,-8.7331505,-8.255914,3.375852,2.5393915,-2.2416782
109,-7.352131,-9.207354,-9.45334,3.3965864,2.5841491,-2.0532632
110,-7.026589,-10.009468,-10.498832,3.3101225,2.5201015,-2.041531
111,-6.7003164,-10.428619,-10.845008,3.2521987,2.461031,-0.6980413
112,-6.728358,-9.335618,-10.20922,5.22657,3.0600755,0.2800717
113,-6.771668,-8.272899,-9.713544,7.190918,3.6056805,1.411566
114,-6.994308,-7.368321,-8.946032,8.861916,4.3050056,2.7209778
115,-8.319543,-7.9220653,-8.204496,10.008041,4.935078,4.095357
116,-10.655613,-8.234772,-6.3536487,8.269993,3.2349076,4.771951
117,-11.764076,-8.899276,-4.4261975,7.878279,1.4489737,4.404924
118,-12.149433,-10.642284,-2.4291568,7.100183,0.97204596,3.959638
119,-12.097549,-11.301008,-0.63114035,7.1729183,0.4741261,3.5783324
120,-12.26022,-10.751904,1.3898721,9.074598,0.24408525,3.8508215
121,-12.525698,-10.37494,3.236045,10.994302,0.1426202,5.1445017
122,-12.896652,-10.020241,5.1300836,12.83095,0.10844052,6.5648055
123,-13.122121,-9.795861,6.930473,14.561415,0.090764225,8.072153
124,-13.115587,-7.8985567,8.823121,14.022884,0.04731214,9.51108
125,-13.272667,-6.2614565,10.635945,13.3802805,0.008874893,10.82043
126,-13.506678,-4.566356,12.596909,13.26397,-0.03692305,12.61544
127,-13.571299,-2.681038,14.538792,12.987566,-0.11418116,14.270776
128,-13.633386,-1.8557909,14.711822,13.015946,1.8048041,15.0881405
129,0.0075474977,0.19101787,0.061417133,0.3091923,0.28438702,0.28636697
130,-0.12268382,0.34098798,-0.08246112,0.46253026,0.34677795,0.3387775
131,-0.19184208,0.10380387,0.0819255,0.5464165,0.4567208,0.4592443
132,-0.25854748,0.09222311,-0.173558,0.63284147,0.48608145,0.45121756
133,-0.5888942,-0.3948435,-0.10586204,0.6381244,0.0787006,0.23566759
134,-0.64479095,-0.24225956,0.038186222,0.7052141,-0.08469576,0.23405325
135,-0.67220265,-0.36662605,0.06144838,0.75793713,-0.28324437,0.1606667
136,-0.632802,-0.30983472,0.08278798,0.8222031,-0.48681277,0.09409529
137,-0.8631884,-0.2743048,-0.062265635,0.97447,-0.6877586,-0.1886782
138,-1.1799253,-0.24129057,-0.0058048815,1.1756582,-0.87030387,-0.40373635
139,-1.2167954,-0.34348604,-0.110970795,1.3223068,-1.0953534,-0.61090964
140,-1.5001162,-0.43077016,0.0053507984,1.4919848,-1.2895837,-0.8230777
141,-1.7766436,-0.5590786,0.27263254,1.9073002,-1.235832,-0.92654026
142,-1.9052852,-0.63181317,0.38000008,2.0144885,-1.2407758,-1.0472053
143,-2.0279126,-0.78252804,0.2398141,2.2250757,-1.2187397,-1.2284827
144,-2.424641,-0.98560804,0.34592927,2.5118876,-1.1818672,-1.3253376
145,-2.308143,-0.89016545,0.13632384,2.272976,-0.40102875,-1.1596309
146,-2.070487,-0.86480284,0.03473887,1.9092114,0.3979614,-0.94476324
147,-2.200449,-0.9796777,-0.26970595,1.8811545,1.0748925,-0.93025637
148,-2.2246006,-0.81465995,-0.3252827,2.0045333,1.6337016,-0.91581637
149,-2.853366,-1.1844559,-0.27310908,2.3125954,1.3315449,-0.12693715
150,-3.1904476,-1.173372,0.07059038,2.8302462,1.315892,0.8463998
151,-3.4110248,-1.2562397,-0.1920122,3.134839,1.1997668,1.531484
152,-3.757112,-1.4016938,0.01180926,3.533828,1.1529851,2.535059
153,-3.9235232,-1.6467624,-0.2012105,3.439567,1.4010992,2.0566888
154,-3.4538066,-1.7476556,-0.12802666,3.4763253,1.6690432,1.4236933
155,-3.042098,-1.6377437,-0.46156484,3.44907,1.8280063,1.9390662
156,-2.9255395,-1.6685728,-1.0999576,3.4231,1.8365641,2.5610907
157,-2.5474792,-1.6454847,-1.0578668,3.088279,1.8566949,2.732975
158,-2.2894862,-1.5049813,-1.1089236,2.6959152,1.9726539,2.7967675
159,-1.7943953,-2.1462402,-1.3865825,2.0677214,2.1248155,2.775559
160,-1.4138803,-2.620574,-1.4394122,1.6448131,2.245326,2.773965
161,-1.5027232,-2.9093916,-0.8195845,1.2831105,2.161522,1.611822
162,-1.3826971,-2.9829617,-0.33984435,1.0699897,1.8181041,0.15012002
163,-1.4664638,-3.2738252,0.22129148,0.8558183,1.4572151,-0.9736616
164,-1.4005237,-3.172594,1.014703,0.7602188,0.806903,-2.2488475
165,-1.5782678,-1.3498284,0.62299585,0.75743604,0.076697856,-3.4376476
166,-1.6619596,-0.013043463,0.36996078,0.69677234,-0.6110206,-4.497349
167,-1.9745936,0.78027415,0.16326708,0.59836054,-1.7127949,-4.645188
