,0,1,2,3,4,5,6,7
0,0.3518942,0.5771231,0.30325288,0.5101593,0.17851391,0.2698307,0.90399665,1.3585383
1,0.31801653,0.5753984,0.2334828,0.52327204,0.21591733,0.23931085,1.706842,1.3433174
2,0.31700101,0.65012926,0.25922582,0.59069866,0.18245994,0.2715569,1.2137899,1.3859935
3,0.2818839,0.6283561,0.22658736,0.57413137,0.16768037,0.25535187,1.8638659,1.4009678
4,0.28453693,0.6016171,0.22122233,0.55174655,0.17894676,0.239831,1.4950817,1.3798473
5,0.33318698,0.6581749,0.2555822,0.6060001,0.21375522,0.25682297,1.3362714,1.4504251
6,0.29141998,0.58889943,0.22909743,0.5321002,0.18011102,0.25233302,1.550216,1.5284033
7,0.22271852,0.5425819,0.17137614,0.49560678,0.14224541,0.22083718,1.2130172,1.4213239
8,0.25394312,0.5544013,0.18755454,0.5012278,0.17120281,0.23692083,1.4779968,1.6064095
9,0.2677825,0.5966287,0.20182282,0.54999,0.17599723,0.23125057,1.6433173,1.4992551
10,0.21631211,0.5465078,0.16404183,0.4941175,0.14100073,0.23349226,1.4372838,1.554102
11,0.3184003,0.64091814,0.2364004,0.5829699,0.21329227,0.2663121,1.7932758,1.5168271
12,0.22971296,0.52826047,0.17601083,0.48120594,0.14760837,0.2179449,1.171233,1.5201784
13,0.21458359,0.50512713,0.1676305,0.46070546,0.13396318,0.20713265,1.1045038,1.4628315
14,0.26290187,0.58741665,0.20553072,0.5415443,0.16393447,0.22756982,1.1258482,1.5483234
15,0.20638032,0.49242276,0.15958242,0.43041614,0.13086745,0.23921151,1.0957232,1.5413187
16,0.2024043,0.4884371,0.1600735,0.43835977,0.123870805,0.21543333,0.9128762,1.5068309
17,0.19039923,0.50804096,0.15723558,0.4670922,0.10737242,0.19982627,1.2613108,1.4745189
18,0.23248272,0.54885215,0.1926706,0.50725806,0.13010094,0.20958996,0.965417,1.5166963
19,0.2558552,0.55420816,0.21370849,0.5134614,0.14067896,0.2085763,1.1026845,1.5001988
20,0.26367468,0.5846455,0.22249617,0.54495806,0.14149131,0.21173355,1.0435433,1.4880263
21,0.30799586,0.6445105,0.24031931,0.5939411,0.19263457,0.25025538,1.5702271,1.5286288
22,0.16596453,0.5208613,0.13901983,0.46614492,0.09065158,0.23239073,0.92796487,1.5838175
23,0.20542523,0.53324765,0.16753127,0.46991277,0.118881464,0.2520616,0.88928133,1.547476
24,0.14159073,0.50949216,0.1073352,0.45409307,0.09234224,0.23104496,0.62678343,1.5444367
25,0.1714383,0.5144804,0.131832,0.45211706,0.1095966,0.24552035,1.1188141,1.5643071
26,0.17750843,0.4934886,0.14200252,0.43837085,0.10651069,0.22663186,0.87796557,1.4842184
27,0.22738644,0.5446867,0.17831364,0.48469156,0.1410987,0.2485109,0.9691529,1.554043
28,0.19863695,0.5018685,0.15269554,0.4495394,0.1270461,0.22312845,1.4147639,1.5327369
29,0.21073173,0.51599205,0.15928091,0.46627486,0.13797627,0.22098769,1.2902296,1.466572
30,0.20030117,0.48407066,0.16354734,0.43487856,0.11564095,0.2126148,1.0946561,1.4744096
31,0.17978787,0.51953673,0.13439122,0.4605335,0.11942645,0.24047317,1.2194746,1.6042495
32,0.22017035,0.5258101,0.17543286,0.47084916,0.13303493,0.23404562,0.90584475,1.4960585
33,0.22522125,0.5175302,0.1710641,0.4521011,0.14649807,0.2518772,1.4312325,1.5332112
34,0.19253846,0.503514,0.14488216,0.452545,0.1268078,0.22074726,1.4771657,1.550868
35,0.2286586,0.5295022,0.17711025,0.46791592,0.14462611,0.24784535,1.6487418,1.592272
36,0.2174924,0.50450337,0.17374058,0.4372551,0.13083254,0.25165772,0.9759103,1.6233324
37,0.22410877,0.48423767,0.1800039,0.41605368,0.1335041,0.24776089,1.4386889,1.6114054
38,0.31179544,0.6293322,0.22785747,0.5431871,0.2128318,0.31781572,1.6895767,1.6201386
39,0.27652836,0.58339447,0.20798595,0.5139863,0.18223551,0.275984,1.604531,1.6096795
40,0.34439576,0.6141956,0.27271077,0.53236,0.2103266,0.3063152,1.5666497,1.5977912
41,0.21107681,0.48699108,0.16836481,0.41795436,0.1273056,0.2499489,1.1292561,1.5986588
42,0.1705841,0.5021653,0.12936716,0.4491109,0.11118936,0.22465403,1.1648518,1.5428724
43,0.2647203,0.5774421,0.19529507,0.50673765,0.17870836,0.27686882,1.5270517,1.6080347
44,0.19596344,0.4837675,0.14831494,0.43230757,0.12807946,0.21712013,1.5388415,1.5026557
45,0.18372343,0.49162772,0.14754269,0.45182428,0.109478116,0.19378506,0.75592047,1.4858868
46,0.20125462,0.4930364,0.15932368,0.42795113,0.1229609,0.24483201,1.1047446,1.5994262
47,0.21344979,0.50591964,0.15911265,0.45911124,0.14228134,0.21253592,1.3416481,1.5442712
48,0.2172788,0.53596634,0.17381816,0.46937245,0.13037379,0.25874588,1.287567,1.6261135
49,0.24517965,0.61093795,0.1997667,0.5451806,0.14214897,0.27572325,1.008022,1.5710714
50,0.21475044,0.5479517,0.16495568,0.4852698,0.13750409,0.2544883,1.5283623,1.6250527
51,0.21112786,0.50924516,0.164088,0.46381253,0.13285369,0.21025828,1.6216011,1.5520209
52,0.24803571,0.5991274,0.19121988,0.52804667,0.1579768,0.28305548,1.1507525,1.5814798
53,0.19865984,0.5092654,0.15301934,0.4650997,0.1266918,0.20744531,0.90626204,1.4941211
54,0.19007307,0.49727803,0.15062393,0.45073155,0.11593188,0.21006313,1.2467084,1.5026579
55,0.190892,0.5006046,0.14559515,0.46020308,0.12345772,0.1970231,1.0912462,1.4858229
56,0.25074592,0.57064337,0.20298451,0.53933805,0.14721005,0.18640892,1.1190809,1.6010734
57,0.20788419,0.5704605,0.15644175,0.49028003,0.13690075,0.29163444,1.373359,1.6012092
58,0.20837548,0.5079922,0.15358044,0.46114302,0.14083107,0.21308033,1.6587422,1.5336982
59,0.20339194,0.5172588,0.155286,0.46046838,0.13135654,0.23563856,1.5699971,1.6148725
60,0.22504106,0.53968555,0.178188,0.48579037,0.13745007,0.23509188,1.4975724,1.4914727
61,0.21574269,0.54561996,0.16814947,0.48972622,0.13516901,0.24056049,1.304676,1.5779247
62,0.21109289,0.5245078,0.15834095,0.46599117,0.1396007,0.24075018,1.398658,1.5792708
63,0.24938522,0.62802935,0.19266316,0.559304,0.1583474,0.2856569,1.136965,1.6026733
