,0,1,2,3,4,5,6,7
0,0.23897365,0.608115,0.20224603,0.5645244,0.12729864,0.2260886,0.6696923,1.1368933
1,0.25081596,0.6086063,0.19440295,0.54711974,0.1584807,0.2665738,1.1800529,1.3586714
2,0.25035846,0.63207215,0.19550373,0.58542734,0.15638943,0.23830657,1.161577,1.1576494
3,0.249151,0.6660101,0.18795341,0.5998775,0.16355348,0.2893379,1.8162787,1.3467563
4,0.22166193,0.6195959,0.1702879,0.5596998,0.14190152,0.26577297,0.9671202,1.2511115
5,0.23440331,0.61133146,0.17079969,0.5643166,0.16053778,0.235102,1.5559837,1.3390737
6,0.23501611,0.70814353,0.1787947,0.6676224,0.15252878,0.23610927,1.3505402,1.286063
7,0.22709453,0.6208078,0.16608918,0.57410705,0.15487516,0.23622748,1.5863948,1.3373711
8,0.20261264,0.5848487,0.15463,0.53684586,0.13092533,0.23204422,1.2477009,1.2838634
9,0.20829695,0.5846607,0.15627782,0.5352155,0.13771299,0.23531368,1.4770002,1.3806994
