,0,1,2,3
0,0.55027586,0.5070935,0.21368144,1.2636311
1,0.66724175,0.58569396,0.31964692,1.4251387
2,0.5083363,0.43322662,0.2659333,1.0891482
3,0.6521449,0.5954223,0.26601735,1.2841516
4,0.5473455,0.50689065,0.20651639,1.4678085
5,0.59193087,0.5377637,0.24737087,1.4010475
6,0.61713135,0.5673004,0.24294318,1.2816993
7,0.5078306,0.4542461,0.2270516,1.3582947
8,0.6083012,0.5546331,0.24982505,1.2580245
9,0.5042343,0.4379114,0.2499717,1.2491498
10,0.59779125,0.5503929,0.23328522,1.563736
11,0.6089222,0.5483076,0.264849,1.6521995
12,0.56857526,0.5083934,0.2545858,1.5614283
13,0.55562645,0.49307945,0.25611207,1.6957103
