,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.34507084,0.4521693,0.596347,0.7814843,0.3138298,0.3793151,0.5646376,0.76519364,0.14347377,0.24612421,0.19186993,0.15873379,0.80415195,0.7877357,1.2427908,1.1455384
1,0.30577534,0.3660771,0.56159914,0.7163178,0.27339736,0.2905,0.5125832,0.6907145,0.13693954,0.22276044,0.22946033,0.18980174,0.77383894,0.78517705,1.3442277,1.1119539
2,0.35279104,0.43827063,0.6247389,0.7861065,0.32216337,0.38712052,0.58123213,0.7681602,0.14377855,0.20547226,0.22905877,0.16701287,0.9080651,0.71930534,1.396054,1.1795125
3,0.3893426,0.5000956,0.7125267,0.8523047,0.372153,0.4760983,0.68928087,0.84319144,0.1144107,0.15305571,0.1805164,0.12430407,0.74575114,0.74954695,1.4043703,1.1190968
4,0.2977876,0.38065624,0.49176553,0.6955777,0.25455782,0.30362272,0.4375673,0.66767985,0.15452437,0.22959186,0.2244286,0.19501773,0.72791016,0.7383182,1.2335863,1.1894002
5,0.3034952,0.38601258,0.5062344,0.7011081,0.2661473,0.31014118,0.45811722,0.6733321,0.14585936,0.22982205,0.215411,0.19538803,0.83214116,0.74784845,1.2012753,1.1192878
6,0.29874086,0.36239353,0.5259594,0.73652965,0.2662116,0.29946405,0.48747715,0.70824534,0.13556357,0.2040842,0.19748233,0.20214956,0.7335357,0.7215999,1.4473443,1.1691808
7,0.28211877,0.34267074,0.5092041,0.71442866,0.2522301,0.27851245,0.4743061,0.69172484,0.12637626,0.1996348,0.18526338,0.17867568,0.7603509,0.7256261,1.2530724,1.1304958
8,0.27610832,0.317031,0.4823722,0.72114897,0.24788862,0.25454688,0.4526878,0.707895,0.12160194,0.18898293,0.16660346,0.13762462,0.6863043,0.7126513,1.4497883,1.1574233
9,0.36669052,0.46017137,0.6677416,0.80152893,0.34276837,0.4180943,0.63745844,0.7896569,0.13027579,0.19223641,0.19881041,0.13744314,0.7678596,0.76838875,1.4428797,1.1468818
10,0.26821917,0.3228443,0.5028107,0.6860036,0.238936,0.26254117,0.47689438,0.67121166,0.12186511,0.18788445,0.15934367,0.14168938,0.6804202,0.7116231,1.1224322,1.0543127
11,0.26680917,0.32208896,0.48579583,0.71348786,0.23799825,0.26384872,0.45706284,0.6973978,0.12059834,0.18472996,0.16459389,0.1506693,0.6874259,0.7123779,1.4241494,1.2120199
