,0
0,6.038218977520916
1,2.9851596332490113
2,11.611903230314295
3,10.038427350340411
4,0.9818407857469758
5,11.235401769205794
6,3.5760072011030966
7,1.2082241792843451
8,0.9523449166329231
9,5.502484816264606
10,-0.3500232057439086
11,0.39687203514988484
12,-4.195387702334446
13,-6.4433260532080485
14,3.8330661496892278
15,-5.2676744824656625
16,-1.784901081915874
17,-6.302960958811865
18,0.03238134215589572
19,-2.0340985477954296
20,4.150672684096407
21,3.0337772645341508
22,-0.3476455412562969
23,-4.715533398149105
24,3.9145807341295336
25,-4.447423863605254
26,4.479089991805752
27,1.9472182554029747
28,2.218041776540627
29,-2.9778785543164457
30,-0.23387362019911145
31,-1.2029004105852423
32,3.602778262546686
33,2.305949111138013
34,0.2457883445407295
35,0.16653449862200365
36,2.207407800289402
37,-0.5517703736481657
38,-2.1665212350037715
39,-0.3973923488366765
40,3.4584229283042878
41,1.1255040266884007
42,6.235849722630983
43,-5.031161601687309
44,-5.210515544545059
45,-3.0621630702883755
46,1.1436884492803925
47,0.8720079757784223
48,-0.04636309360089305
49,6.621275465357859
50,-1.2386542832038745
51,2.765397807663036
52,-3.800995347635431
53,1.45195573577806
54,2.400610389840159
55,-4.735202390788664
56,-3.6226382788557427
57,-50.5253838128183
58,-13.190173431702657
59,308.8312129177201
60,339.25949195008025
61,420.932837198698
62,275.54047901709276
63,348.7862634606154
64,330.4478305472664
65,397.4999792005335
66,243.42457484013937
67,270.4786312846961
68,177.6020271583338
69,303.40012779856994
70,306.8250444395081
71,293.32477969946643
72,15.035548537500656
73,-2.0477479196799497
74,-2.612761862878274
75,36.30219506131092
76,33.34086011705468
77,-3.0058010235301276
78,13.372603478427035
79,-2.127382118732881
80,-6.104049545815742
81,21.429357245470346
82,18.903135827679783
83,23.056354010631747
84,104.78147081938896
85,0.48007801475177125
86,24.97684869928207
87,17.801436432594066
88,-3.7114276967855355
89,239.34303494726794
90,25.01526588963622
91,100.36899850235972
92,87.29308444905743
93,170.65523094893715
94,295.36493289138934
95,308.22860431215946
96,290.6439292615585
97,308.3965521033485
98,243.24789553783975
99,288.0716159686368
100,243.0546296861082
101,295.0364468434196
102,381.5191279133159
103,322.24923397242895
104,247.46830848455227
105,262.4917342795476
106,304.26038998679525
107,366.4530415140977
108,329.0781209965675
109,8.478387975311783
110,130.5000306751269
111,70.07975625733307
112,232.08712739741657
113,316.7826820226835
114,17.947577195980397
115,-34.771389709412446
116,-2.5816988886360654
117,261.6904259052181
118,151.1782631878189
119,-16.772211827019675
120,17.550033400311214
121,244.16687857754462
122,450.3052373908463
123,333.3235444444601
124,317.18465531926677
125,166.07744104670738
126,345.4401976759704
127,476.598375467225
128,35.113979513786596
129,31.15334688178587
130,512.5149307642305
131,443.1180377276364
132,515.1600165379364
133,11.15051001179262
134,33.694655901706184
135,6.254834440386146
136,693.6667501092007
137,886.4722814206693
138,166.02833422723384
139,23.10206584936237
140,-1.65799602153181
141,28.96145994957988
142,27.67818021420407
143,47.8887666080771
144,52.67851852181059
145,7.245403442224273
146,106.29329023070112
147,290.0364062899052
148,12.327354799380014
149,-38.612456805804236
150,302.336832901187
151,274.4972920310927
152,186.66579561267548
153,177.6898696427042
154,435.6378879008352
155,382.33581106848555
156,451.612634755313
157,281.2000900376996
158,536.1563641200262
159,516.5364205215386
160,548.3506199322799
161,591.762543494259
162,519.618063842357
163,277.5319396821828
164,483.3343870714803
165,48.08878948985496
166,286.7879417918
167,77.16936856405427
168,259.56314822236334
169,374.3346938876802
170,162.90147001315478
171,194.94238548399616
172,334.1504606803102
173,44.79574116965839
174,714.7375903782589
175,56.79525543950277
176,24.39557914896332
177,216.69592758709376
178,322.06264679465
179,465.74382880206485
180,22.927964557058424
181,35.37742866681365
182,-30.56741934398159
183,384.55013062446443
184,28.059303414753668
185,24.38326146986018
186,9.495929047529462
187,251.28770992168612
188,465.5256604772721
189,86.63961039316847
190,29.523163889811308
191,33.89957201826815
192,466.572766447613
193,520.2243814005787
194,308.7801072548001
195,351.0188095021888
196,542.0967326996346
197,423.04811684777025
198,471.94974355981276
199,482.00019894297543
200,775.9978401005952
201,710.8293982314918
202,439.5340380915676
203,562.8615850788564
204,564.8220037511518
205,397.9820576599067
206,369.5104559721556
207,343.274120803423
208,712.6242210385251
209,348.5014307125289
210,353.4841261215179
211,2033.6072203999279
212,504.60555555172624
213,1652.750797246674
214,705.7771476403849
215,133.31104395845105
216,0.9646621882895554
217,133.95746663454068
218,15.026626542669847
219,135.13373162066586
220,216.62927533171617
221,132.63862641912604
222,127.99232923417797
223,117.4318527998152
224,11.414162987866023
225,2027.3104079581028
226,327.11529365920086
227,1510.527045280174
228,1538.8357206848889
229,189.3898134253104
230,218.02766929024966
231,928.0775123872918
232,-11.542904452268717
233,173.57983877397223
234,525.6587398800692
235,86.87469858394661
236,642.1738803579019
237,769.8381345272238
238,725.000209651394
239,245.39371947914336
240,725.0566166223047
241,1268.5256496780355
242,314.36680734167135
243,915.8907948080772
244,1332.2463069369262
245,699.7715456064135
246,1152.7328200587635
247,978.6194067385277
248,10.802155356706091
249,260.2525991528691
250,70.11181555372015
251,144.27304528058386
