,0,1,2,3,4
0,4596.021111,5364.722262,404.1235754,1001.382554,73
1,4433.277563,5344.240786,341.3775734,1135.882333,69
2,4482.206326,5369.626912,403.4723576,1013.106761,67
3,4624.857253,5373.306456,592.4490254,928.9865898,76
4,4151.478057,5395.643885,236.7848581,1402.593721,63
5,4446.611766,5286.031787,354.5787243,1034.913342,65
6,4248.802083,5325.510149,280.2644746,1360.614881,62
7,4371.518129,5333.273137,317.0561196,1222.730109,62
8,4158.982395,5351.555839,339.366478,1306.028487,54
9,4202.193997,5284.972438,304.4510201,1226.305832,54
10,4160.164318,5278.439455,210.1677215,1169.680123,50
11,4063.078004,5278.064121,375.588071,1406.522083,53
12,3960.988325,5272.055166,212.6468233,1398.098798,52
13,4109.802689,5277.995819,320.1208495,1412.587937,61
14,3785.480373,5304.650871,196.5127279,1485.8669,43
15,3346.73514,5319.534458,198.6092511,1657.702324,37
16,3044.868323,5199.455904,210.0204941,1796.550623,29
17,3022.749578,5188.188928,169.0569411,1879.725664,32
18,2430.185925,5156.113335,184.0192552,1879.931471,24
19,2367.15342,5275.208106,186.0287936,1919.355466,22
20,2278.38329,5110.55681,188.1970546,1908.792089,18
21,2011.084675,5042.303305,192.4686337,1857.13072,16
22,1749.647421,4947.553133,163.8675512,1745.577532,9
23,1971.158742,5133.128776,159.9753634,1831.489813,17
24,1306.656494,4972.169591,166.6452401,1510.583506,3
25,1547.118938,4709.266734,159.177212,1528.706685,7
26,1445.332767,5001.449576,163.2429752,1584.359826,8
27,1672.465181,5080.52519,168.2857876,1713.555383,10
28,1294.795947,5003.731663,172.3710037,1507.756164,6
29,1230.317082,5386.995051,178.5904446,1406.075025,5
30,1344.788272,4904.157999,161.0035171,1478.116484,6
31,1360.205204,4943.952505,158.2787234,1488.974915,5
32,1027.960387,5170.279899,156.3405761,1282.832869,2
33,968.3140006,4881.507647,165.9588466,1139.339536,2
34,1133.637272,4927.771196,159.2420201,1297.167796,4
35,967.3089772,5121.370253,163.774389,1139.763233,2
36,884.7113124,4173.649999,146.6720023,993.4274268,0
37,772.1920335,4613.051124,162.890355,1052.259323,2
38,728.5995059,4702.734287,149.5486486,949.1862487,0
39,803.3103311,4475.64461,153.5925547,1077.61029,2
40,557.2548232,3090.345131,144.0828843,700.7804721,0
