,0,1,2,3
0,0.22701278,0.17964369,0.13879101,1.3877914
1,0.19489123,0.14589764,0.12921482,1.4477208
2,0.17776994,0.13326502,0.11765452,1.3353415
3,0.16197443,0.11994063,0.10885753,1.3513653
4,0.15871395,0.11576613,0.10857403,1.4236293
5,0.16411813,0.1172097,0.11487665,1.4306197
6,0.16274863,0.11889547,0.11113498,1.3638942
7,0.15715791,0.113388896,0.10881897,1.184405
8,0.16077754,0.11451741,0.11285024,1.357805
9,0.14306347,0.09786877,0.10434971,1.3366811
10,0.15768012,0.11350691,0.10944953,1.4524236
11,0.15559691,0.110572584,0.10947194,1.3825666
12,0.15878604,0.106795356,0.11750642,1.3728619
13,0.15383688,0.1068766,0.11064889,1.3809371
14,0.14685407,0.10664509,0.10096011,1.4353813
15,0.15712689,0.11163631,0.11057212,1.5476015
16,0.14688234,0.1059846,0.10169409,1.5015948
17,0.15097716,0.10121484,0.11202526,1.5067238
18,0.15461935,0.10753659,0.11109916,1.522914
19,0.1335411,0.08877802,0.099758156,1.4145029
20,0.14377594,0.10369264,0.099595964,1.4601192
21,0.15531328,0.103351064,0.11593434,1.539659
22,0.14223117,0.097206116,0.103830025,1.413456
23,0.14381707,0.1005434,0.10283177,1.2895157
24,0.15575442,0.11028773,0.10998207,1.5036168
25,0.14012584,0.09638967,0.101706855,1.3145788
26,0.14434458,0.097319305,0.10660353,1.4610542
27,0.15779673,0.10663023,0.11631767,1.3808308
28,0.15107642,0.10660962,0.10704426,1.2877862
29,0.15062927,0.10157625,0.11122699,1.3525472
30,0.13567446,0.09469307,0.09716369,1.2230114
31,0.15300143,0.10648019,0.10986996,1.4714966
32,0.16187108,0.11261653,0.11627452,1.2788012
33,0.13786283,0.0884442,0.1057534,1.4752483
34,0.15732849,0.108742826,0.11369807,1.4538152
35,0.14031209,0.09578411,0.102532364,1.4701469
36,0.15087952,0.10054964,0.11249177,1.4833574
37,0.1551173,0.10464055,0.114506476,1.5500746
38,0.18013242,0.13159929,0.123001285,1.2268347
39,0.13674724,0.08977189,0.103154324,1.5390866
40,0.1474488,0.098148234,0.11003669,1.4752481
41,0.14721788,0.09655942,0.11112777,1.5031829
42,0.17553866,0.11837555,0.12961887,1.4679906
43,0.15408096,0.10615916,0.11167441,1.3629844
44,0.13580503,0.09284453,0.09911055,1.5289186
45,0.14891243,0.10250094,0.10802068,1.2673264
46,0.13241749,0.08909414,0.097962365,1.3086123
47,0.14038843,0.09107628,0.10683643,1.3536888
48,0.13614345,0.09562686,0.0969048,1.3598323
49,0.13400571,0.08662313,0.10224462,1.3868852
50,0.13819285,0.09182525,0.10327336,1.3235328
51,0.1426315,0.09530199,0.106119156,1.3863313
52,0.18114829,0.12636258,0.12979677,1.4698648
53,0.1410535,0.0933116,0.105778225,1.5094914
54,0.15379159,0.10125506,0.11575519,1.5651764
55,0.1491599,0.09894408,0.111618735,1.4944632
56,0.1305317,0.0857618,0.09840447,1.5240045
57,0.1888536,0.1354793,0.13157143,1.4162202
58,0.1621054,0.10842415,0.12050877,1.3028469
59,0.14881171,0.0948452,0.11467046,1.4355346
60,0.14153665,0.096329674,0.10369774,1.3997278
61,0.1584094,0.11088531,0.1131282,1.4033427
62,0.15436475,0.104837276,0.11330323,1.4819193
63,0.1526641,0.09997096,0.11537822,1.5074034
64,0.14683156,0.09853013,0.10886377,1.318435
65,0.13978548,0.09049892,0.10653604,1.4718659
66,0.12355667,0.08063233,0.09361986,1.3774036
67,0.15699503,0.10739734,0.11451311,1.3755345
68,0.13729867,0.09269109,0.10128813,1.3547739
69,0.15592863,0.10297005,0.117093585,1.5627512
70,0.16291161,0.10676357,0.12305174,1.5446218
71,0.13019685,0.08497145,0.09864621,1.4244063
72,0.12715964,0.07999009,0.09884917,1.5444418
73,0.14583427,0.09771899,0.10825263,1.5581824
74,0.14054127,0.09485576,0.103702605,1.4430537
75,0.17332703,0.11824253,0.12673184,1.4945202
76,0.1256095,0.08405722,0.0933388,1.4361959
77,0.1333007,0.0901736,0.0981723,1.539035
78,0.13483341,0.086201146,0.10367936,1.4733543
79,0.14109866,0.08989849,0.10875245,1.4992695
80,0.1266291,0.082883894,0.09573498,1.4077282
81,0.1589295,0.10386932,0.12029028,1.4334533
82,0.13735479,0.09335027,0.10075746,1.4662107
83,0.1469503,0.0962663,0.11102789,1.4539278
84,0.13503136,0.08939528,0.10120252,1.274807
85,0.1451738,0.10147136,0.103821956,1.407269
86,0.15645386,0.10379101,0.11706938,1.4621058
87,0.12611113,0.08262946,0.09527009,1.4073093
88,0.12865877,0.08142446,0.09961494,1.4291552
89,0.13990061,0.09218195,0.105236255,1.4494414
90,0.13973582,0.09256753,0.10467737,1.3309759
91,0.14443845,0.09028214,0.112745725,1.4936767
92,0.13482709,0.089397356,0.10092797,1.2455869
93,0.12562266,0.07947701,0.09728545,1.436605
94,0.12490479,0.078732856,0.09696568,1.3805953
95,0.13934003,0.09204176,0.10461337,1.4124455
96,0.13253534,0.0866654,0.10027325,1.5026504
97,0.1508489,0.09788557,0.11477719,1.4693682
98,0.13174799,0.08512912,0.100551315,1.5490532
99,0.15185209,0.10123602,0.11318269,1.4505464
100,0.13169742,0.08174972,0.10325305,1.5240492
101,0.13786207,0.08579905,0.10790957,1.4000192
102,0.14031518,0.08428659,0.11217896,1.5008757
103,0.13733123,0.08904398,0.1045516,1.4315517
104,0.15344259,0.09511629,0.12040565,1.3542309
105,0.14433074,0.08621263,0.11575295,1.5166242
106,0.16414347,0.11128056,0.12066365,1.3684533
107,0.13604458,0.08247965,0.10819074,1.3297307
108,0.1265453,0.0823624,0.09607366,1.4691985
109,0.134279,0.08153352,0.10669176,1.5229596
110,0.13518162,0.08620856,0.10412566,1.3871341
111,0.1413203,0.09146771,0.107726894,1.3738129
112,0.12772354,0.08562718,0.09476967,1.4734706
113,0.13552701,0.08476723,0.105745405,1.4566475
114,0.13100284,0.08112644,0.102860324,1.2249346
115,0.14770812,0.09206662,0.11550508,1.3865812
116,0.139763,0.09092658,0.10614167,1.4242373
117,0.13006683,0.08666849,0.096984275,1.4156483
118,0.12813978,0.082340166,0.09818299,1.3005056
119,0.14445442,0.09484368,0.10895758,1.5260653
120,0.13343148,0.08392019,0.10373699,1.3645608
121,0.11966147,0.07611399,0.092333786,1.3916432
122,0.14675364,0.093613274,0.11301852,1.4332983
123,0.13472216,0.084350325,0.105048,1.4832386
124,0.13277006,0.0820109,0.10441313,1.4695361
125,0.13076225,0.082360454,0.101565346,1.429282
126,0.12129389,0.07569804,0.094773486,1.3715426
127,0.13744299,0.09464358,0.09966528,1.4435955
128,0.12496701,0.07957335,0.09635785,1.1626422
129,0.12302989,0.07868518,0.09457799,1.3335091
130,0.13249701,0.0845877,0.10198225,1.4937634
131,0.13978182,0.09013093,0.10684274,1.4602535
132,0.13861737,0.09095171,0.104606695,1.5358015
133,0.13445206,0.08809326,0.10157231,1.3563769
134,0.1267051,0.07943334,0.09871436,1.4025567
135,0.14230976,0.08542192,0.11382074,1.4169706
136,0.13384467,0.082124494,0.10568805,1.5105305
137,0.13739675,0.08398463,0.10874028,1.5072775
138,0.12604265,0.08296148,0.09489017,1.3699107
